simNo_7-s_7-m_20-h_1-minCP_0.10-ISAV_0-n_12-fp_0.001-fn_0.1-na_0-d_0-l_1000000	cell_0,cell_10,cell_2,cell_3,cell_4,cell_5,cell_7,cell_8,cell_9	mut2	3.476586188871140310257416899E-142	4.277269145561503010250910094E-142	0.8128051031062128305970741152	
simNo_7-s_7-m_20-h_1-minCP_0.10-ISAV_0-n_12-fp_0.001-fn_0.1-na_0-d_0-l_1000000	cell_0,cell_10,cell_2,cell_3,cell_4,cell_5,cell_7,cell_8,cell_9	mut3	2.608617886348208101724691676E-142	4.277269145561503010250910094E-142	0.6098792939076923676510477992	
simNo_7-s_7-m_20-h_1-minCP_0.10-ISAV_0-n_12-fp_0.001-fn_0.1-na_0-d_0-l_1000000	cell_0,cell_10,cell_2,cell_3,cell_4,cell_5,cell_7,cell_8,cell_9	mut4	2.609070334169054086011118750E-142	4.277269145561503010250910094E-142	0.6099850735080515095872521148	
simNo_7-s_7-m_8-h_1-minCP_0.10-ISAV_0-n_12-fp_0.001-fn_0.1-na_0-d_0-l_1000000	cell_0,cell_10,cell_3,cell_4,cell_7	mut2	1.615875552598399113078260248E-62	1.129817757156453808874894392E-54	1.430209024741534013321583138E-8	
simNo_8-s_7-m_10-h_1-minCP_0.10-ISAV_0-n_12-fp_0.001-fn_0.1-na_0-d_0-l_1000000	cell_0,cell_10,cell_3,cell_5,cell_6,cell_7	mut5	4.866727281473765678285380782E-49	2.670633288589371104550422497E-48	0.1822312071922226260972528298	
simNo_1-s_7-m_15-h_1-minCP_0.10-ISAV_0-n_12-fp_0.001-fn_0.1-na_0-d_0-l_1000000	cell_0,cell_10,cell_3,cell_5,cell_9	mut1	8.847028411961593068660579728E-81	8.417678296010470726624952894E-80	0.1051005764398790499301389594	
simNo_1-s_7-m_15-h_1-minCP_0.10-ISAV_0-n_12-fp_0.001-fn_0.1-na_0-d_0-l_1000000	cell_0,cell_10,cell_3,cell_5,cell_9	mut2	4.897390468451059405411533061E-80	8.417678296010470726624952894E-80	0.5817982460522589155296275032	
simNo_1-s_7-m_15-h_1-minCP_0.10-ISAV_0-n_12-fp_0.001-fn_0.1-na_0-d_0-l_1000000	cell_0,cell_10,cell_3,cell_5,cell_9	mut3	1.380889315603989919100011509E-80	8.417678296010470726624952894E-80	0.1640463399817093977857382054	
simNo_1-s_7-m_15-h_1-minCP_0.10-ISAV_0-n_12-fp_0.001-fn_0.1-na_0-d_0-l_1000000	cell_0,cell_10,cell_3,cell_5,cell_9	mut4	8.847504100614146128818841413E-81	8.417678296010470728087991425E-80	0.1051062275070239954621928840	
simNo_7-s_7-m_15-h_1-minCP_0.10-ISAV_0-n_12-fp_0.001-fn_0.1-na_0-d_0-l_1000000	cell_0,cell_10,cell_3,cell_6	mut7	1.148107810286810252705717044E-94	2.754388429726847487391483598E-94	0.4168285772245521761437389152	
simNo_7-s_7-m_15-h_1-minCP_0.10-ISAV_0-n_12-fp_0.001-fn_0.1-na_0-d_0-l_1000000	cell_0,cell_10,cell_3,cell_6	mut8	1.603820682492489879495566344E-94	2.754388429726847487391483598E-94	0.5822783254471994231870006444	
simNo_1-s_7-m_12-h_1-minCP_0.10-ISAV_0-n_15-fp_0.001-fn_0.1-na_0-d_0-l_1000000	cell_0,cell_10,cell_3	mut6	3.915622478321862559161566104E-74	4.780563205466713979574066810E-74	0.8190713750723416066928353578	
simNo_4-s_7-m_20-h_1-minCP_0.10-ISAV_0-n_12-fp_0.001-fn_0.1-na_0-d_0-l_1000000	cell_0,cell_10,cell_4,cell_5,cell_8	mut10	5.672926254666878120815082512E-114	1.296276720482856073389696845E-110	0.0004376323484814063271193090107	
simNo_4-s_7-m_20-h_1-minCP_0.10-ISAV_0-n_12-fp_0.001-fn_0.1-na_0-d_0-l_1000000	cell_0,cell_10,cell_4,cell_5,cell_8	mut11	4.260298791531668785722087394E-114	1.296276720482856073389696845E-110	0.0003286565842164264516173636497	
simNo_4-s_7-m_20-h_1-minCP_0.10-ISAV_0-n_12-fp_0.001-fn_0.1-na_0-d_0-l_1000000	cell_0,cell_10,cell_4,cell_5,cell_8	mut12	4.131427691696662980280558461E-114	1.296276720482856073389696845E-110	0.0003187149492399839203371951828	
simNo_4-s_7-m_20-h_1-minCP_0.10-ISAV_0-n_12-fp_0.001-fn_0.1-na_0-d_0-l_1000000	cell_0,cell_10,cell_4,cell_5,cell_8	mut9	4.260407006608968985773627085E-114	1.296276720482856073389696845E-110	0.0003286649323627435350962702365	
simNo_7-s_7-m_12-h_1-minCP_0.10-ISAV_0-n_12-fp_0.001-fn_0.1-na_0-d_0-l_1000000	cell_0,cell_10,cell_4,cell_5,cell_9	mut7	1.930019055506570554824462114E-74	3.858999542694808017271723208E-74	0.5001345644521128708981932060	
simNo_7-s_7-m_12-h_1-minCP_0.10-ISAV_0-n_12-fp_0.001-fn_0.1-na_0-d_0-l_1000000	cell_0,cell_10,cell_4,cell_5,cell_9	mut8	1.929544010489231474855877519E-74	3.858999542694808017271723208E-74	0.5000114638888494330425432885	
simNo_6-s_7-m_20-h_1-minCP_0.10-ISAV_0-n_12-fp_0.001-fn_0.1-na_0-d_0-l_1000000	cell_0,cell_10,cell_4,cell_5	mut17	1.263641012948703817347024607E-105	1.263642560915682824972018037E-105	0.9999987749961683105149416406	
simNo_6-s_7-m_20-h_1-minCP_0.10-ISAV_0-n_12-fp_0.001-fn_0.1-na_0-d_0-l_1000000	cell_0,cell_10,cell_4,cell_5	mut18	1.263366871124859401032823835E-105	1.263642560915682824972018037E-105	0.9997818292930687228752842672	
simNo_6-s_7-m_20-h_1-minCP_0.10-ISAV_0-n_12-fp_0.001-fn_0.1-na_0-d_0-l_1000000	cell_0,cell_10,cell_4,cell_5	mut19	1.263366810024765900578359147E-105	1.263642560915682824972018037E-105	0.9997817809407138796045386134	
simNo_7-s_7-m_12-h_1-minCP_0.10-ISAV_0-n_12-fp_0.001-fn_0.1-na_0-d_0-l_1000000	cell_0,cell_10,cell_4	mut9	3.323922720880988410816696780E-74	3.858999542694808016080704640E-74	0.8613431238086734926589518627	
